"品目コード","品目名称","２年売上"
"G120AFC18NJ-----F2",,218500
"G120AFC20H------F2",,8000
"G120AFC20H------F3",,3387450
"G120AFC20H------N3",,3700
"G12301102M------F5","０１１０２Ｍ　Ｆ　９００",0
"G123015AN-------F7","０１５ＡＮ　　Ｆ　１０００",163000
"G123015AN-------N3","０１５ＡＮ　　Ｎ　　　２５",2700
"G123015EB-------F7","０１５ＥＢ　　Ｆ　１０００",29000
"G123015EB-------N3","０１５ＥＢ　　Ｎ　　　２５",350
"G123021GT-------F7","０２１ＧＴ　　Ｆ　１０００",263000
"G123021GT-------N3","０２１ＧＴ　　Ｎ　　　２５",102800
"G123021GTP------F4","０２１ＧＴＰ　Ｆ　　８００",0
"G123022EB-------F7","０２２ＥＢ　　Ｆ　１０００",72000
"G123022EB-------N3",,925
"G123022GS-------F7","０２２ＧＳ　　Ｆ　１０００",0
"G123022GS-------N3","０２２ＧＳ　　Ｎ　　　２５",6450
"G123022GS----S--F7","０２２ＧＳ　　Ｆ　１０００　再",0
"G123022GS-B91---F7","０２２ＧＳ　　Ｆ　１０００　Ｂ９１",588000
"G123022GSP------F4","０２２ＧＳＰ　　Ｆ　８００",0
"G123032EB-------F7","０３２ＥＢ　　Ｆ　１０００",187000
"G123032EB-------N3","０３２ＥＢ　　Ｎ　　　２５",300
"G123032GS-------F7","０３２ＧＳ　　Ｆ　１０００",73000
"G123032GS-------N3","０３２ＧＳ　　Ｎ　　　２５",0
"G123033EB-------N3","０３３ＥＢ　　Ｎ　　　２５",0
"G1230520F-------F7","０５２０Ｆ　　Ｆ　１０００",480000
"G1230520F-------N3","０５２０Ｆ　　Ｎ　　　２５",80050
"G1230540F-------F7","０５４０Ｆ　　Ｆ　１０００",1701000
"G1230540F-------N3","０５４０Ｆ　　Ｎ　　　２５",124125
"G1230540F-B41---F5","０５４０Ｆ　　Ｆ　 ９００ 　Ｂ４１",0
"G1230540F-B41---F6","０５４０Ｆ　　Ｆ　 ９５０ 　Ｂ４１",139650
"G1230540F-B44---F7","０５４０Ｆ　　Ｆ　１０００　Ｂ４４",148000
"G1230540F-C95---F7",,76000
"G1230540FA------F7","０５４０ＦＡ　Ｆ　１０００",0
"G1230540P-------F4","０５４０Ｐ　　Ｆ　　８００",0
"G123057FA-------F7","０５７ＦＡ　　Ｆ　１０００",292000
