"rock","テキスト37","AREAKNB","テキスト38","3段","2段","1段",,"位置X","位置Y","方向","型","列数",,,,
0,1,"00:通常",0,0,0,0,,,,,,,,,,
"0A","01","00:通常",30000,10,0,0,0,1.6,0,"↓",14,1,,,,
"0A","02","00:通常",30000,10,0,0,0,3.2,0,"↓",14,1,,,,
"0A","03","00:通常",30000,10,0,0,0,4.8,0,"↓",14,1,,,,
"0A","04","00:通常",30000,10,0,0,0,6.4,0,"↓",14,1,,,,
"0A","05","00:通常",30000,10,0,0,0,8,0,"↓",14,1,,,,
"0A","06","00:通常",30000,10,0,0,0,9.6,0,"↓",14,1,,,,
"0A","07","00:通常",30000,10,0,0,0,11.2,0,"↓",14,1,,,,
"0A","08","00:通常",30000,10,0,0,0,12.8,0,"↓",14,1,,,,
"0A","09","00:通常",30000,10,0,0,0,14.4,0,"↓",14,1,,,,
"0A",10,"00:通常",30000,10,0,0,0,16,0,"↓",14,1,,,,
"0A",11,"00:通常",30000,10,0,0,0,17.6,0,"↓",14,1,,,,
"0A",12,"00:通常",30000,10,0,0,0,19.2,0,"↓",14,1,,,,
"0A",13,"00:通常",30000,10,0,0,0,20.8,0,"↓",14,1,,,,
"0A",14,"00:通常",30000,10,0,0,0,22.4,0,"↓",14,1,,,,
"0A",15,"00:通常",60000,10,0,0,0,24,0,"↓",14,1,,,,
"0A",16,"00:通常",30000,10,0,0,0,25.6,0,"↓",14,1,,,,
"0A",17,"00:通常",30000,10,0,0,0,27.2,0,"↓",14,1,,,,
"0A",18,"00:通常",30000,10,0,0,0,28.8,0,"↓",14,1,,,,
"0A",19,"00:通常",30000,10,0,0,0,30.4,0,"↓",14,1,,,,
"0A",20,"00:通常",30000,10,0,0,0,32,0,"↓",14,1,,,,
"0A",21,"00:通常",30000,10,0,0,0,1.6,0,"↓",14,1,,,,
"0A",22,"00:通常",30000,10,0,0,0,3.2,0,"↓",14,1,,,,
"0A",23,"00:通常",30000,10,0,0,0,4.8,0,"↓",14,1,,,,
"0A",24,"00:通常",30000,10,0,0,0,6.4,0,"↓",14,1,,,,
"0A",25,"00:通常",30000,10,0,0,0,8,0,"↓",14,1,,,,
"0A",26,"00:通常",30000,10,0,0,0,9.6,0,"↓",14,1,,,,
"0A",27,"00:通常",30000,10,0,0,0,11.2,0,"↓",14,1,,,,
"0A",28,"00:通常",30000,10,0,0,0,12.8,0,"↓",14,1,,,,
"0A",29,"00:通常",30000,10,0,0,0,14.4,0,"↓",14,1,,,,
"0A",30,"00:通常",30000,10,0,0,0,16,0,"↓",14,1,,,,
"0A",31,"00:通常",30000,10,0,0,0,17.6,0,"↓",14,1,,,,
"0A",32,"00:通常",30000,10,0,0,0,19.2,0,"↓",14,1,,,,
"0A",33,"00:通常",30000,10,0,0,0,20.8,0,"↓",14,1,,,,
"0A",34,"00:通常",30000,10,0,0,0,22.4,0,"↓",14,1,,,,
"0A",35,"00:通常",30000,10,0,0,0,24,0,"↓",14,1,,,,
"0A",36,"00:通常",30000,10,0,0,0,25.6,0,"↓",14,1,,,,
"0A",37,"00:通常",36000,18,0,0,0,-1.2,3.2,"→",14,1,,,,
"0A",38,"00:通常",36000,18,0,0,0,-1.2,1.6,"→",14,1,,,,
"0A",39,"00:通常",36000,18,0,0,0,-1.2,0,"→",14,1,,,,
"0A",40,"00:通常",12000,10,0,0,0,0,1.6,"←",14,1,,,,
"0A",41,"00:通常",12000,10,0,0,0,0,0,"←",14,1,,,,
"0A",42,"00:通常",12000,4,0,0,0,,,,,1,,,,
