LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員版] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,2073600.0,2073600.0,2592000.0,2592000.0,2592000.0,1900800.0
利益,92631850,,,以上・以下,,以下,,以下,,以下,,以下,,以下,,以下
,,,,実稼働,316000.0,1080000.0,112500.0,1345500.0,792630.0,690885.0
,,,,稼働率,15.2%,52.1%, 4.3%,51.9%,30.6%,36.3%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10(西新),347.0,70000.0,70000.0,70000.0,,9.0,,9.0,4.24,
F3×10(西原),347.0,,,,,9.0,11.25,,4.24,
普3×10(東原),605.1,,,,8.0,,10.3,,4.24,9.0
12普3×6(東新),590.5,,,,14.4,,,13.85,7.2,
12普3×6化粧(東新),832.0,,,,14.4,,,13.85,7.2,14.4
12F無塗装(西新),637.8,30000.0,30000.0,30000.0,,9.0,,9.0,5.54,7.5
12F無塗装(西原),637.8,,,,,9.0,11.25,,5.54,7.5
12F化粧(西新),911.4,10000.0,15000.0,10000.0,,9.0,,9.0,5.54,7.83
12F化粧(西原),911.4,10000.0,15000.0,10000.0,,9.0,11.25,,5.54,7.83
12普及化粧(東新),784.3,39500.0,,39500.0,8.0,,,9.0,5.54,7.83
