LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員版] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,2073600.0,2073600.0,2592000.0,2592000.0,2592000.0,1900800.0
利益,227897270,,,以上・以下,,以下,,以下,,以下,,以下,,以下,,以下
,,,,実稼働,1705800.0,1464000.0,1475350.0,2112700.0,1633290.0,1856220.0
,,,,稼働率,82.3%,70.6%,56.9%,81.5%,63.0%,97.7%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10(西新),347.0,70000.0,70000.0,70000.0,,9.0,,9.0,4.24,
F3×10(西原),347.0,,,,,9.0,11.25,,4.24,
普3×10(東原),605.1,,,,8.0,,10.3,,4.24,9.0
12普3×6(東新),590.5,,,,14.4,,,13.85,7.2,
12普3×6化粧(東新),832.0,,,,14.4,,,13.85,7.2,14.4
12F無塗装(西新),637.8,30000.0,30000.0,30000.0,,9.0,,9.0,5.54,7.5
12F無塗装(西原),637.8,,,,,9.0,11.25,,5.54,7.5
12F化粧(西新),911.4,10000.0,15000.0,10000.0,,9.0,,9.0,5.54,7.83
12F化粧(西原),911.4,10000.0,15000.0,10000.0,,9.0,11.25,,5.54,7.83
12普及化粧(東新),784.3,39500.0,,39500.0,8.0,,,9.0,5.54,7.83
12普及化粧(東原),784.3,57000.0,,57000.0,8.0,,9.23,,5.54,7.83
12普及無塗装(東新),637.8,,,,8.0,,,9.0,5.54,7.5
12普及無塗装(東原),637.8,12000.0,12000.0,12000.0,8.0,,9.23,,5.54,7.5
12高級(東原),840.4,29000.0,29000.0,29000.0,8.0,,10.29,,5.54,8.37
12高意匠(東原),912.8,5000.0,5000.0,5000.0,8.0,,10.3,,5.54,13.33
15高級(東原),1478.0,4000.0,4000.0,4000.0,11.25,,13.33,,6.79,15.65
16高級(東原),1778.9,,,,13.3,,12.41,,6.21,10.3
16F化粧(西新),1176.9,12000.0,12000.0,12000.0,,12.0,,13.85,6.0,8.37
16F無塗装(西新),1072.8,20000.0,20000.0,20000.0,,12.0,,13.85,6.0,7.83
野地板(東新),564.8,14000.0,14000.0,14000.0,16.4,,,18.0,,
野地2M(東新),541.6,4000.0,4000.0,4000.0,16.4,,,18.0,,
S1コタタキ(東原),-208.7,14400.0,14400.0,14400.0,9.0,,13.33,,,
ショップ(東原),628.4,,,,8.0,,9.47,,4.24,8.57
大壁(東原),451.0,12000.0,12000.0,12000.0,8.0,,10.9,,4.24,
