LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員版] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,2073600.0,2073600.0,2073600.0,2073600.0,2073600.0
利益,90405000,,,以上・以下,,以下,,以下,,以下,,以下,,以下
,,,,実稼働,413400.0,1029700.0,0.0,1365000.0,857140.0
,,,,稼働率,19.9%,49.7%, 0.0%,65.8%,41.3%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,245.0,60000.0,,60000.0,,8.8,,8.0,4.21
F3×10（西原）,245.0,,,,,8.8,9.86,,4.21
普3×10（東原）,679.0,,,,7.8,,10.0,,4.21
12普3×6（西新）,269.0,1200.0,,1200.0,,14.7,,15.0,9.0
12普3×6化粧（西新）,554.0,1800.0,,1800.0,,14.7,,15.0,9.0
12F無塗装（西新）,637.0,30000.0,,30000.0,,8.8,,8.0,5.46
12F無塗装（西原）,637.0,,,,,8.8,9.86,,5.46
12F化粧（西新）,737.0,22000.0,,22000.0,,8.8,,8.0,5.46
12F化粧（西原）,737.0,,,,,8.8,9.86,,5.46
12普及化粧（東新）,737.0,53000.0,,53000.0,7.8,,,8.0,5.54
