LiPS-CSV-H,Ver1.00,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,製品名,製品-AA,製品-AB,製品-AC,製品-AD,製品-AE,製品-AF,製品-AG,製品-AH,製品-AI,製品-AJ,製品-AK,製品-AL,製品-AM,製品-AN,製品-AO,製品-AP,製品-AQ,製品-AR,製品-AS,製品-AT,製品-AU,製品-AV,製品-AW,製品-AX,製品-AY,製品-AZ
t(:profit)},306268533,,,製品当り利益,245.0,245.0,269.0,554.0,637.0,637.0,737.0,737.0,737.0,737.0,737.0,637.0,637.0,822.0,737.0,637.0,637.0,684.0,737.0,1118.0,942.0,1118.0,942.0,337.0,737.0,337.0
,,,,最小製造数,60000.0,0.0,1200.0,1800.0,30000.0,0.0,22000.0,0.0,53000.0,6500.0,0.0,0.0,0.0,23000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,11000.0,12000.0,0.0,0.0,8500.0
,,,,最大製造数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,製造数,60000.0,0.0,1200.0,1800.0,30000.0,0.0,22000.0,36601.1,53000.0,19378.4,0.0,0.0,0.0,67093.8,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,57305.0,12000.0,0.0,0.0,8500.0
工程,稼働時間,≦≧,実稼働,稼働率,製品を一単位作るのに必要な稼働時間
原料A,2073600.0,以下,2073600.0,100.0%,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.8,7.8,7.8,7.8,7.8,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,0.0,0.0
工程１,2073600.0,以下,2073600.0,100.0%,8.8,8.8,0.0,14.7,14.7,8.8,8.8,8.8,8.8,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.6,11.3
工程２,2073600.0,以下,2073600.0,100.0%,0.0,9.86,10.0,0.0,0.0,0.0,9.86,0.0,9.86,0.0,0.0,0.0,9.23,9.6,9.6,9.6,12.86,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
工程３,2073600.0,以下,2073600.0,67.7%,8.0,0.0,0.0,15.0,15.0,8.0,0.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.6,0.0
工程４,2073600.0,以下,2073600.0,100.0%,4.21,4.21,4.21,9.0,9.0,5.46,5.46,5.46,5.46,5.54,5.54,5.54,5.54,5.54,7.5,5.54,7.66,7.35,0.0,0.0,0.0,0.0,0.0,5.9,5.9,5.9
