LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,2073600.0,2073600.0,2073600.0,2073600.0,2073600.0
利益,310743067,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,2073600.0,2073600.0,2067540.0,1673800.0,2073600.0
,,,,稼働率,100.0%,100.0%,99.7%,80.7%,100.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10,245.0,60000.0,,60000.0,,8.8,,8.0,4.21
F3×10,245.0,,,,,8.8,9.86,,4.21
普3×10,679.0,,,,7.8,,10.0,,4.21
12普3×6,269.0,1200.0,,1200.0,,14.7,,15.0,9.0
12普3×6化粧,554.0,1800.0,,1800.0,,14.7,,15.0,9.0
12F無塗装,637.0,30000.0,,30000.0,,8.8,,8.0,5.46
12F無塗装,637.0,,,,,8.8,9.86,,5.46
12F化粧,737.0,22000.0,,22000.0,,8.8,,8.0,5.46
12F化粧,737.0,,,,,8.8,9.86,,5.46
12普及化粧,737.0,53000.0,,53000.0,7.8,,,8.0,5.54
12普及化粧,737.0,6500.0,,6500.0,,8.8,,8.0,5.54
12普及無塗装,637.0,,,,7.8,,,8.0,5.54
12普及無塗装,637.0,,,,7.8,,9.23,,5.54
12高級,822.0,23000.0,,23000.0,7.8,,9.6,,5.54
12高級リブ柄,737.0,30000.0,,30000.0,7.8,,9.6,,7.5
12高意匠,917.0,,,25526.1,7.8,,9.6,,5.54
15高級,1033.0,24000.0,,24000.0,13.3,,12.86,,7.66
16高級,684.0,,,,13.3,,12.41,,7.35
16F化粧,1118.0,,,,,11.6,,11.6,5.9
16F無塗装,942.0,,,,,11.6,,11.6,5.9
16F化粧,1118.0,11000.0,,56300.9,,11.3,12.0,,5.9
16F無塗装,942.0,12000.0,,12000.0,,11.3,12.0,,5.9
野地板,337.0,,,,16.4,,,14.4,
野地板,337.0,8500.0,,8500.0,,16.4,,14.4,
野地2M,127.0,,,,16.4,,,18.0,
S1コタタキ,1.0,15200.0,,15200.0,11.25,,12.2,,
ショップ,735.0,,,,8.0,,9.47,,3.46
大壁,325.0,6000.0,,6000.0,8.0,,,10.9,4.23
14F無塗装,537.0,3000.0,,3000.0,,10.5,,10.5,6.34
ぎふセラシス,637.0,5000.0,,5000.0,,8.8,,7.5,11.08
型板,3000.0,1000.0,,14152.7,36.0,,,,
