LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,2073600.0,2073600.0,2073600.0,2073600.0,2073600.0
利益,306268533,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,2073600.0,2073600.0,2073600.0,1404840.0,2073600.0
,,,,稼働率,100.0%,100.0%,100.0%,67.7%,100.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10(西新),245.0,60000.0,,60000.0,,8.8,,8.0,4.21
F3×10(西原),245.0,,,,,8.8,9.86,,4.21
15高級ノロ(東原),269.0,1200.0,,1200.0,7.8,,10.0,,4.21
16高級(東原),554.0,1800.0,,1800.0,,14.7,,15.0,9.0
F3×10(西原),637.0,30000.0,,30000.0,,14.7,,15.0,9.0
F3×10(西原),637.0,,,,,8.8,,8.0,5.46
16F(西新),737.0,22000.0,,22000.0,,8.8,9.86,,5.46
16F(西新),737.0,,,36601.1,,8.8,,8.0,5.46
F3×10(西新),737.0,53000.0,,53000.0,,8.8,9.86,,5.46
F3×10(西新),737.0,6500.0,,19378.4,7.8,,,8.0,5.54
12普及化粧(東新),737.0,,,,,8.8,,8.0,5.54
12普及化粧(東新),637.0,,,,7.8,,,8.0,5.54
F3×10(西新),637.0,,,,7.8,,9.23,,5.54
16F(西新),822.0,23000.0,,67093.8,7.8,,9.6,,5.54
14F(西新),737.0,30000.0,,30000.0,7.8,,9.6,,7.5
F3×10(西新),637.0,30000.0,,30000.0,7.8,,9.6,,5.54
F3×10(西新),637.0,,,,13.3,,12.86,,7.66
S1コタタキ(東原),684.0,,,,13.3,,12.41,,7.35
12高級(東原),737.0,,,,13.3,,,,
F3×10(西新),1118.0,,,,13.3,,,,
F3×10(西新),942.0,,,,13.3,,,,
F3×10(西新),1118.0,11000.0,,57305.0,13.3,,,,
F3×10(西新),942.0,12000.0,,12000.0,13.3,,,,
F3×10(西新),337.0,,,,13.3,11.6,,11.6,5.9
12普及化粧(東新),737.0,,,,,11.6,,11.6,5.9
野地板(西新),337.0,8500.0,,8500.0,,11.3,12.0,,5.9
