LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,86400.0,1728000.0,1209600.0,1382400.0,2073600.0,2592000.0
利益,216254934,,,以上・以下,以上,以上,以上,以上,以上,以上
,,,,実稼働,797135.0,3334060.0,1209600.0,3063450.0,2073600.0,2592000.0
,,,,稼働率,922.6%,192.9%,100.0%,221.6%,100.0%,100.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10,245.0,60000.0,,60000.0,,7.5,,7.5,3.5,
F3×10,245.0,,,,,7.5,11.25,,3.5,
普3×10,679.0,,,,7.5,,8.57,,3.5,9.0
12普3×6,269.0,,,,,14.4,,13.85,6.5,
12普3×6化粧,554.0,,,59833.3,,14.4,,13.85,6.5,14.4
12F無塗装,637.0,20000.0,,20000.0,,7.5,,7.5,4.8,7.5
12F無塗装,637.0,20000.0,,20000.0,,7.5,11.25,,4.8,7.5
12F化粧,737.0,29000.0,,29000.0,,7.5,,7.5,4.8,7.83
12F化粧,737.0,,,,,7.5,11.25,,4.8,7.83
12普及化粧,737.0,30000.0,,30000.0,,7.5,,7.5,4.8,7.83
12普及化粧,737.0,28000.0,,28000.0,7.5,,9.23,,4.8,7.83
12普及無塗装,637.0,,,,7.5,,,7.5,4.8,7.5
12普及無塗装,637.0,12000.0,,12000.0,7.5,,9.23,,4.8,7.5
12高級,822.0,10000.0,,10000.0,8.2,,10.29,,5.5,8.37
12高級リブ柄,737.0,21000.0,,21000.0,8.2,,10.29,,5.5,8.37
12高意匠,917.0,5000.0,,5000.0,8.2,,10.3,,5.5,13.33
15高級,1033.0,,,,12.0,,13.33,,6.0,15.65
15高級ノロ,1033.0,11000.0,,11000.0,12.0,,12.41,,6.0,15.65
16高級,684.0,,,,12.0,,12.41,,6.0,10.3
16F化粧,1118.0,8000.0,,8000.0,,10.3,,9.0,4.8,8.37
16F無塗装,942.0,12000.0,,12000.0,,10.3,,9.0,4.8,7.83
野地板,337.0,12000.0,,12000.0,,12.0,,13.3,6.5,
野地2M,127.0,,,56843.6,,16.36,,15.0,6.5,
S1コタタキ,1.0,7600.0,,8132.03,8.6,,13.33,,,
ショップ,735.0,,,,7.5,,9.47,,3.5,8.57
大壁,325.0,,,,7.5,,10.9,,3.5,
型板,3000.0,,,,36.0,,,,,
