LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1658880.0,1866240.0,2073600.0,2073600.0,2073600.0,1900800.0
利益,179224090,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,1658880.0,1077000.0,1763700.0,1352140.0,1279300.0,1276120.0
,,,,稼働率,100.0%,57.7%,85.1%,65.2%,61.7%,67.1%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10,347.0,99000.0,,99000.0,,9.0,,9.0,4.24,
F3×10,347.0,,,,,9.0,11.25,,4.24,
普3×10,605.1,,,,8.0,,10.3,,4.24,9.0
12普3×6,590.5,2200.0,,2200.0,14.4,,,13.85,7.2,
12普3×6化粧,832.0,,,,14.4,,,13.85,7.2,14.4
12F無塗装,637.8,,,,,9.0,,9.0,5.54,7.5
12F無塗装,637.8,,,,,9.0,11.25,,5.54,7.5
12F化粧,911.4,,,,,9.0,,9.0,5.54,7.83
12F化粧,911.4,,,,,9.0,11.25,,5.54,7.83
12普及化粧,784.3,,,,,9.0,,9.0,5.54,7.83
12普及化粧,784.3,21500.0,,21500.0,8.0,,9.23,,5.54,7.83
12普及無塗装,637.8,,,,8.0,,,9.0,5.54,7.5
12普及無塗装,637.8,,,,8.0,,9.23,,5.54,7.5
12高級,840.4,40500.0,,40500.0,8.0,,10.29,,5.54,8.37
12高意匠,912.8,,,,8.0,,10.3,,5.54,13.33
15高級,1478.0,28000.0,,28000.0,11.25,,13.33,,6.79,15.65
16高級,1778.9,19500.0,,19500.0,13.3,,12.41,,6.21,10.3
16F化粧,1176.9,15500.0,,15500.0,,12.0,,13.85,6.0,8.37
16F無塗装,1072.8,,,,,12.0,,13.85,6.0,7.83
野地板,564.8,9000.0,,9000.0,16.4,,,18.0,8.0,
野地2M,541.6,3000.0,,3000.0,16.4,,,18.0,8.0,
S1コタタキ,-208.7,,,40005.6,9.0,,13.33,,,
ショップ,628.4,,,,8.0,,9.47,,4.24,8.57
大壁,451.0,,,,8.0,,10.9,,4.24,
