LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1490400.0,1987200.0,1900800.0,1900800.0,1900800.0,2592000.0
利益,200799300,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,1117880.0,1660630.0,1495900.0,1674590.0,1466930.0,2104170.0
,,,,稼働率,75.0%,83.6%,78.7%,88.1%,77.2%,81.2%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10(西新),245.0,52500.0,,52500.0,,8.0,,9.0,3.5,
F3×10(西原),245.0,,,,,8.0,11.25,,3.5,
普3×10(東原),679.0,,,,8.37,,8.57,,3.5,9.0
12普3×6(西新),269.0,,,,,12.86,,12.86,6.5,
12普3×6化粧(西新),554.0,,,,,12.86,,12.86,6.5,14.4
12F無塗装(西新),637.0,40000.0,,40000.0,,8.0,,9.0,4.8,7.5
12F無塗装(西原),637.0,20000.0,,20000.0,,8.0,11.25,,4.8,7.5
12F化粧(西新),737.0,55700.0,,55700.0,,8.0,,9.0,4.8,7.83
12F化粧(西原),737.0,,,,,8.0,11.25,,4.8,7.83
12普及化粧(西新),737.0,,,,,8.0,,9.0,4.8,7.83
12普及化粧(東原),737.0,40400.0,,40400.0,8.37,,9.23,,4.8,7.83
12普及無塗装(東新),637.0,,,,8.37,,,8.0,4.8,7.5
12普及無塗装(東原),637.0,10000.0,,10000.0,8.37,,9.23,,4.8,7.5
12高級(東原),822.0,6100.0,,6100.0,8.78,,10.29,,5.5,8.37
12高級リブ柄(東原),737.0,25000.0,,25000.0,8.78,,10.29,,5.5,8.37
12高意匠(東原),917.0,6000.0,,6000.0,8.78,,10.3,,5.5,13.33
15高級(東原),1033.0,22800.0,,22800.0,12.4,,13.33,,6.0,15.65
15高級ノロ(東原),1033.0,,,,16.3,,12.41,,6.0,10.3
16高級(東原),684.0,,,,16.3,,12.41,,6.0,10.3
16F化粧(西新),1118.0,8000.0,,8000.0,,11.25,,12.86,4.8,8.37
16F無塗装(西新),942.0,8000.0,,8000.0,,11.25,,12.86,4.8,7.83
野地板(西新),337.0,10500.0,,10500.0,,12.86,,12.86,6.5,
野地2M(西新),127.0,,,,,16.36,,15.0,6.5,
S1コタタキ(東原),1.0,9000.0,,9000.0,9.73,,13.33,,,
型板,3000.0,,,,36.0,,,,,
