LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,860544.0,1290816.0,902016.0,1353024.0,1147392.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,405.0,40000.0,,,,7.5,,7.5,3.6
F3×10（西原）,405.0,,,,,7.5,9.73,,3.6
普3×10（東原）,1370.0,,,,7.5,,9.73,,3.6
12普3×6(西新）,730.0,,,,,12.0,,10.91,5.37
12普3×6化粧(西新）,788.0,,,,,12.0,,10.91,5.37
12F無塗装（西新）,730.0,25000.0,,,,7.5,,7.5,5.0
12F無塗装（西原）,730.0,,,,,7.5,9.73,,5.0
12F化粧（西新）,788.0,18000.0,,,,7.5,,7.5,5.0
12普及化粧（西新）,788.0,24000.0,,,,7.5,,7.5,5.0
12普及化粧（西原）,788.0,6000.0,,,,7.5,9.73,,5.0
12普及化粧（東新）,788.0,8000.0,,,7.5,,,7.5,5.0
12普及化粧（東原）,788.0,24000.0,,,7.5,,9.73,,5.0
12普及無塗装（東新）,730.0,10000.0,,,7.5,,,7.5,5.0
12普及無塗装（東原）,730.0,,,,7.83,,9.73,,5.0
12高級リブ柄,788.0,24000.0,,,7.83,,9.73,,5.22
12高級（東原）,1035.0,8200.0,,,7.83,,9.73,,5.22
15高級（東原）,1007.0,15000.0,,,10.59,,12.86,,5.54
16高級（東原）,655.0,,,,12.0,,12.86,,5.54
１６Ｆ化粧（西新）,1118.0,9000.0,,,,10.0,,9.73,5.37
１６Ｆ無塗装（西新）,1041.0,9000.0,,,,10.0,,9.73,5.37
１６Ｆ化粧（西原）,1118.0,,,,,10.0,12.86,,5.37
１６Ｆ無塗装（西原）,1041.0,,,,,10.0,12.86,,5.37
野地板（西新）,602.0,8000.0,,,,12.0,,14.4,6.21
野地板2M（西新）,602.0,,,,,12.0,,14.4,6.21
S1コタタキ（東原）,1.0,9000.0,,,8.78,,12.0,,
トンネル材,1.0,,,,,7.06,,8.37,
型板,1.0,700.0,,,45.0,,,,
