LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,850176.0,1290816.0,891648.0,1409720.0,111806.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,405.0,36000.0,,,,7.5,,8.78,3.6
F3×10（西原）,405.0,,,,,7.5,12.0,,3.6
普3×10（東原）,1370.0,,,,7.66,,9.47,,3.6
12普3×6(西新）,730.0,,,,,12.0,,13.85,5.45
12普3×6化粧(西新）,788.0,,,,,12.0,,13.85,5.45
12F無塗装（西新）,730.0,25000.0,,,,7.5,,8.78,5.14
12F無塗装（西原）,730.0,,,,,7.5,12.0,,5.14
12F化粧（西新）,788.0,15000.0,,,,7.5,,8.78,5.14
12普及化粧（西新）,788.0,24000.0,,,,7.5,,7.83,5.14
12普及化粧（西原）,788.0,6000.0,,,,7.5,9.47,,5.14
12普及化粧（東新）,788.0,8000.0,,,7.66,,,7.83,5.14
12普及化粧（東原）,788.0,20000.0,,,7.66,,9.47,,5.14
12普及無塗装（東新）,730.0,10000.0,,,7.66,,,7.83,5.14
12普及無塗装（東原）,730.0,,,,7.66,,9.47,,5.14
12高級リブ柄,788.0,22000.0,,,8.0,,10.29,,5.22
12高級（東原）,1035.0,8200.0,,,8.0,,10.29,,5.22
15高級（東原）,1007.0,13000.0,,,10.59,,13.33,,5.37
16高級（東原）,655.0,,,,15.0,,13.33,,5.37
１６Ｆ化粧（西新）,1118.0,8000.0,,,,9.73,,10.59,5.22
１６Ｆ無塗装（西新）,1041.0,9000.0,,,,9.73,,10.59,5.22
１６Ｆ化粧（西原）,1118.0,,,,,9.73,12.86,,5.22
１６Ｆ無塗装（西原）,1041.0,,,,,9.73,12.86,,5.22
野地板（西新）,602.0,8000.0,,,,12.0,,15.65,6.0
野地板2M（西新）,602.0,,,,,12.0,,15.65,6.0
S1コタタキ（東原）,136.0,9000.0,9000.0,,8.78,,13.33,,
トンネル材,1.0,,,,8.0,,8.0,,
型板,1.0,700.0,,,45.0,,,,
