LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,878400.0,1299600.0,856800.0,1321200.0,1148400.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,405.0,38141.0,,,,7.51565762,,9.350649351,3.711340206
F3×10（西原）,405.0,,,,,7.51565762,11.68831169,,3.711340206
普3×10（東原）,1370.0,3193.0,,,7.826086957,,9.6,,3.711340206
12普3×6(西新）,697.0,,,,,12.0,,13.63636364,5.164992826
12普3×6化粧(西新）,715.0,,,,,12.0,,13.63636364,5.164992826
12F無塗装（西新）,730.0,23517.0,,,,7.51565762,,9.350649351,5.164992826
12F無塗装（西原）,730.0,,,,,7.51565762,11.68831169,,5.164992826
12F化粧（西新）,788.0,15000.0,,,,7.51565762,,9.350649351,5.164992826
12普及化粧（西新）,788.0,15057.0,,,,7.51565762,,8.275862069,5.164992826
12普及化粧（西原）,788.0,6000.0,,,,7.51565762,9.6,,5.164992826
12普及化粧（東新）,788.0,8000.0,,,7.826086957,,,8.275862069,5.164992826
12普及化粧（東原）,788.0,16000.0,,,7.826086957,,9.6,,5.164992826
12普及無塗装（東新）,730.0,10000.0,,,7.826086957,,,8.275862069,5.164992826
12普及無塗装（東原）,730.0,,,,7.826086957,,9.6,,5.164992826
12高級リブ柄,788.0,22000.0,,,7.826086957,,10.22727273,,5.164992826
12高級（東原）,1035.0,11652.0,,,7.826086957,,10.22727273,,5.164992826
15高級（東原）,1007.0,11860.0,,,11.04294479,,14.75409836,,5.20984081
16高級（東原）,655.0,1679.0,,,12.0,,12.72084806,,5.381165919
１６Ｆ化粧（西新）,1118.0,9217.0,9217.0,,,9.254498715,,11.32075472,5.381165919
１６Ｆ無塗装（西新）,1041.0,9420.0,9420.0,,,9.254498715,,10.31518625,5.381165919
１６Ｆ化粧（西原）,1118.0,,,,,9.254498715,12.86,,5.381165919
１６Ｆ無塗装（西原）,1041.0,,,,,9.254498715,12.86,,5.381165919
野地板（西新）,602.0,7962.0,,,,11.53846154,,14.17322835,6.394316163
野地板2M（西新）,602.0,,,,,11.53846154,,14.17322835,6.394316163
S1コタタキ（東原）,136.0,9000.0,9000.0,,8.78,,13.63636364,,
トンネル材,1.0,1.0,1.0,,,7.058823529,,9.72972973,
型板,1.0,700.0,700.0,,72.0,,,,
