LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,1209600.0,1382400.0,826848.0,1428192.0,1382400.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,39000.0,,,,7.594936709,,10.52631579,3.4416826
F3×10（西原）,400.0,5000.0,,,,7.594936709,10.61946903,,3.4416826
普3×10（東原）,1163.0,2000.0,,,7.484407484,,9.809264305,,3.4416826
12普3×6(西新）,697.0,,,,,12.0,,13.63636364,5.164992826
12普3×6化粧(西新）,715.0,,,,,12.0,,13.63636364,5.164992826
12F無塗装（西新）,704.0,27000.0,,,,7.594936709,,10.52631579,5.120910384
12F無塗装（西原）,704.0,,,,,7.594936709,10.61946903,,5.120910384
12F化粧（西新）,817.0,15000.0,,,,7.594936709,,10.52631579,5.120910384
12普及化粧（西新）,817.0,15000.0,,,,7.594936709,,8.108108108,5.120910384
12普及化粧（西原）,817.0,6000.0,,,,7.594936709,9.809264305,,5.120910384
12普及化粧（東新）,817.0,8000.0,,,7.484407484,,,8.108108108,5.120910384
12普及化粧（東原）,817.0,16000.0,,,7.484407484,,9.809264305,,5.120910384
12普及無塗装（東新）,704.0,10000.0,,,7.484407484,,,8.108108108,5.120910384
12普及無塗装（東原）,704.0,,,,7.484407484,,9.809264305,,5.120910384
12高級リブ柄,817.0,22000.0,,,7.843137255,,10.52631579,,5.357142857
12高級（東原）,1075.0,8400.0,,,7.843137255,,10.52631579,,5.357142857
15高級（東原）,1025.0,12000.0,,,9.917355372,,12.04013378,,5.660377358
16高級（東原）,1073.0,2800.0,,,12.0,,12.72084806,,5.381165919
１６Ｆ化粧（西新）,1138.0,10300.0,,,,10.52631579,,13.09090909,5.454545455
１６Ｆ無塗装（西新）,1053.0,11700.0,,,,10.52631579,,13.09090909,5.454545455
１６Ｆ化粧（西原）,1138.0,,,,,10.52631579,12.86,,5.454545455
１６Ｆ無塗装（西原）,1053.0,,,,,10.52631579,12.86,,5.454545455
野地板（西新）,598.0,7600.0,,,,11.53846154,,17.06161137,6.260869565
野地板2M（西新）,598.0,,,,,11.53846154,,17.06161137,6.260869565
S1コタタキ（東原）,157.0,9000.0,,,9.399477807,,10.97560976,,
トンネル材,1.0,1.0,,,,7.058823529,,,
型板,1.0,1.0,,,72.0,,,,
