LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,1003968.0,1147392.0,902016.0,1353024.0,1147392.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,42120.0,,,,7.594936709,,8.0,3.4416826
F3×10（西原）,400.0,,,,,7.594936709,10.61946903,,3.4416826
普3×10（東原）,1163.0,3240.0,,,7.484407484,,9.809264305,,3.4416826
12普3×6(西新）,697.0,,,,,12.0,,13.63636364,5.164992826
12普3×6化粧(西新）,715.0,,,,,12.0,,13.63636364,5.164992826
12F無塗装（西新）,704.0,27214.92,,,,7.594936709,,8.0,5.120910384
12F無塗装（西原）,704.0,,,,,7.594936709,10.61946903,,5.120910384
12F化粧（西新）,817.0,16200.0,,,,7.594936709,,8.0,5.120910384
12普及化粧（西新）,817.0,,,,,7.594936709,,8.108108108,5.120910384
12普及化粧（西原）,817.0,,,,,7.594936709,9.809264305,,5.120910384
12普及化粧（東新）,817.0,32400.0,,,7.484407484,,,8.108108108,5.120910384
12普及化粧（東原）,817.0,,,,7.484407484,,9.809264305,,5.120910384
12普及無塗装（東新）,704.0,,,,7.484407484,,,8.108108108,5.120910384
12普及無塗装（東原）,704.0,10800.0,,,7.484407484,,9.809264305,,5.120910384
12高級リブ柄,817.0,39960.0,,,7.843137255,,10.52631579,,5.357142857
12高級（東原）,1075.0,8358.12,,,7.843137255,,10.52631579,,5.357142857
15高級（東原）,1025.0,17531.64,,,9.917355372,,12.04013378,,5.660377358
16高級（東原）,1073.0,3016.44,,,12.0,,12.72084806,,5.381165919
１６Ｆ化粧（西新）,1138.0,11671.56,,,,10.52631579,,10.3,5.454545455
１６Ｆ無塗装（西新）,1053.0,10268.64,,,,10.52631579,,10.3,5.454545455
１６Ｆ化粧（西原）,1138.0,,,,,10.52631579,12.86,,5.454545455
１６Ｆ無塗装（西原）,1053.0,,,,,10.52631579,12.86,,5.454545455
野地板（西新）,598.0,7560.0,,,,11.53846154,,17.06161137,6.260869565
野地板2M（西新）,598.0,,,,,11.53846154,,17.06161137,6.260869565
S1コタタキ（東原）,157.0,4621.08,,,9.399477807,,10.97560976,,
トンネル材,1.0,1.0,,,,7.058823529,,,
型板,1.0,1.0,,,72.0,,,,
