LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,1003968.0,1147392.0,934400.0,1528000.0,11143554.0
利益,182339896,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,1003970.0,915403.0,934400.0,1528000.0,1129130.0
,,,,稼働率,100.0%,79.8%,100.0%,100.0%,10.1%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,25000.0,,25000.0,,7.594936709,,10.52631579,3.4416826
F3×10（西原）,400.0,6000.0,,6000.0,,7.594936709,10.61946903,,3.4416826
普3×10（東原）,1163.0,6522.0,,8698.94,7.484407484,,9.809264305,,3.4416826
12普3×6(西新）,697.0,,,,,12.0,,13.63636364,5.164992826
12普3×6化粧(西新）,715.0,,,,,12.0,,13.63636364,5.164992826
12F無塗装（西新）,704.0,32609.0,,32609.0,,7.594936709,,10.52631579,5.120910384
12F無塗装（西原）,704.0,,,532.162,,7.594936709,10.61946903,,5.120910384
12F化粧（西新）,817.0,13043.0,,14691.9,,7.594936709,,10.52631579,5.120910384
12普及化粧（西新）,817.0,,1.0,1.0,,7.594936709,,8.108108108,5.120910384
12普及化粧（西原）,817.0,,1.0,1.0,,7.594936709,9.809264305,,5.120910384
12普及化粧（東新）,817.0,43478.0,,43478.0,7.484407484,,,8.108108108,5.120910384
12普及化粧（東原）,817.0,,,,7.484407484,,9.809264305,,5.120910384
12普及無塗装（東新）,704.0,,,,7.484407484,,,8.108108108,5.120910384
12普及無塗装（東原）,704.0,10870.0,,10870.0,7.484407484,,9.809264305,,5.120910384
12高級リブ柄,817.0,26087.0,,26087.0,7.843137255,,10.52631579,,5.357142857
12高級（東原）,1075.0,8696.0,,8696.0,7.843137255,,10.52631579,,5.357142857
15高級（東原）,1025.0,17717.0,,17717.0,9.917355372,,12.04013378,,5.660377358
16高級（東原）,1073.0,3043.0,,3043.0,12.0,,12.72084806,,5.381165919
１６Ｆ化粧（西新）,1138.0,11739.0,11739.0,11739.0,,10.52631579,,13.09090909,5.454545455
１６Ｆ無塗装（西新）,1053.0,10000.0,10000.0,10000.0,,10.52631579,,13.09090909,5.454545455
１６Ｆ化粧（西原）,1138.0,,1.0,1.0,,10.52631579,12.86,,5.454545455
１６Ｆ無塗装（西原）,1053.0,,1.0,1.0,,10.52631579,12.86,,5.454545455
野地板（西新）,598.0,7609.0,,7609.0,,11.53846154,,17.06161137,6.260869565
野地板2M（西新）,598.0,,,,,11.53846154,,17.06161137,6.260869565
S1コタタキ（東原）,157.0,5000.0,,5000.0,9.399477807,,10.97560976,,
トンネル材,1.0,1.0,1.0,1.0,,7.058823529,,,
型板,1.0,1.0,1.0,1.0,72.0,,,,
