LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,900864.0,1649376.0,1589760.0,1689120.0,1629504.0,1689120.0
利益,132925728,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,424022.0,1385620.0,882933.0,1161580.0,1004790.0,1336470.0
,,,,稼働率,47.1%,84.0%,55.5%,68.8%,61.7%,79.1%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10,444.0,35000.0,,35000.0,,8.37,,10.29,3.75,
普3×10化粧,946.0,3400.0,,3400.0,8.0,,9.0,,3.75,9.73
12F無塗装,476.0,31500.0,,31500.0,,8.57,,10.29,5.14,7.83
12無塗装(西),476.0,12500.0,,12500.0,,8.57,,8.37,5.14,7.83
12Fカラー,699.0,10000.0,,10000.0,,8.37,,10.29,5.14,8.37
12普カラー,699.0,47000.0,,47000.0,,8.57,9.0,,5.14,8.37
12高,1028.0,11400.0,20000.0,11400.0,8.0,,9.23,,5.14,8.57
12リブ他,699.0,17000.0,,17000.0,8.0,,9.23,,5.14,8.57
15高級,976.0,9000.0,,9000.0,11.61,,10.91,,6.32,10.0
16F無塗装,970.0,7500.0,,7500.0,,10.29,,12.0,5.54,8.57
16Fカラー,1015.0,7300.0,,7300.0,,10.29,,12.0,5.54,8.78
16高級,1125.0,2000.0,10000.0,2000.0,15.0,,12.0,,6.67,10.0
野地板,572.0,6400.0,10000.0,6400.0,,12.0,,14.4,6.79,
S1コタタキ,100.0,4000.0,6000.0,4000.0,8.78,,11.25,,,
15防汚,928.0,1.0,1.0,1.0,11.61,,10.91,,6.32,11.25
トンネル下地,-100.0,1.0,1.0,1.0,,6.55,,7.83,,7.5
