LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,1.0,1.0,855.0,1.0,1.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,40.0,,,,7.6,,7.5,3.4
F3×10（西原）,400.0,,,,,7.6,10.6,,3.4
普3×10（東原）,1.0,6.0,,,7.5,,9.8,,3.4
12普3×6(西新）,697.0,,,,,12.0,,10.9,5.2
12普3×6化粧(西新）,715.0,,,,,12.0,,10.9,5.2
12F無塗装（西新）,704.0,32.0,,,,7.6,,7.5,5.1
12F無塗装（西原）,704.0,,,,,7.6,10.6,,5.1
12F化粧（西新）,817.0,13.0,,,,7.6,,7.5,5.1
12普及化粧（西新）,817.0,,,,,7.6,,7.5,5.1
12普及化粧（西原）,817.0,,,,,7.6,9.8,,5.1
12普及化粧（東新）,817.0,43.0,,,7.5,,,7.5,5.1
12普及化粧（東原）,817.0,,,,7.5,,9.8,,5.1
12普及無塗装（東新）,704.0,,,,7.5,,,7.5,5.1
12普及無塗装（東原）,704.0,10.0,,,7.5,,9.8,,5.1
12高級リブ柄,817.0,26.0,,,7.8,,10.5,,5.4
12高級（東原）,1.0,8.0,,,7.8,,10.5,,5.4
15高級（東原）,1.0,17.0,,,9.9,,12.0,,5.7
16高級（東原）,1.0,3.0,,,12.0,,12.7,,5.4
１６Ｆ化粧（西新）,1.0,11.0,,,,10.5,,9.7,5.5
１６Ｆ無塗装（西新）,1.0,10.0,,,,10.5,,9.7,5.5
１６Ｆ化粧（西原）,1.0,,,,,10.5,12.9,,5.5
１６Ｆ無塗装（西原）,1.0,,,,,10.5,12.9,,5.5
野地板（西新）,598.0,7.0,,,,11.5,,14.4,6.3
野地板2M（西新）,598.0,,,,,11.5,,14.4,6.3
S1コタタキ（東原）,157.0,5.0,,,9.4,,11.0,,
トンネル材,1.0,1.0,,,,7.1,,,
型板,1.0,1.0,,,72.0,,,,
