LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1.0,1836000.0,1.0,2080800.0,993600.0,1551600.0
利益,189034952,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,1.0,1836000.0,1.0,2080800.0,993600.0,1513560.0
,,,,稼働率,100.0%,100.0%,100.0%,100.0%,100.0%,97.5%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,,,,,7.594936709,,10.52631579,3.4416826,
F3×10（西原）,400.0,,,,,7.594936709,10.61946903,,3.4416826,
普3×10（東原）,1163.0,,,0.101944,7.484407484,,9.809264305,,3.4416826,10.0
12普3×6(西新）,697.0,,,,,12.0,,13.63636364,5.164992826,
12普3×6化粧(西新）,715.0,,,,,12.0,,13.63636364,5.164992826,14.4
12F無塗装（西新）,704.0,,,,,7.594936709,,10.52631579,5.120910384,7.5
12F無塗装（西原）,704.0,,,,,7.594936709,10.61946903,,5.120910384,7.5
12F化粧（西新）,817.0,,,,,7.594936709,,10.52631579,5.120910384,8.0
12普及化粧（西新）,817.0,,,72652.7,,7.594936709,,8.108108108,5.120910384,8.0
12普及化粧（西原）,817.0,,,,,7.594936709,9.809264305,,5.120910384,8.0
12普及化粧（東新）,817.0,,,0.0316667,7.484407484,,,8.108108108,5.120910384,8.0
12普及化粧（東原）,817.0,,,,7.484407484,,9.809264305,,5.120910384,8.0
12普及無塗装（東新）,704.0,,,,7.484407484,,,8.108108108,5.120910384,7.5
12普及無塗装（東原）,704.0,,,,7.484407484,,9.809264305,,5.120910384,7.5
12高級リブ柄,817.0,,,,7.843137255,,10.52631579,,5.357142857,7.5
12高級（東原）,1075.0,,,,7.843137255,,10.52631579,,5.357142857,8.0
15高級（東原）,1025.0,,,,9.917355372,,12.04013378,,5.660377358,12.0
16高級（東原）,1073.0,,,,12.0,,12.72084806,,5.381165919,10.0
１６Ｆ化粧（西新）,1138.0,,,113951.0,,10.52631579,,13.09090909,5.454545455,8.181818182
１６Ｆ無塗装（西新）,1053.0,,,,,10.52631579,,13.09090909,5.454545455,8.0
１６Ｆ化粧（西原）,1138.0,,,,,10.52631579,12.86,,5.454545455,8.181818182
１６Ｆ無塗装（西原）,1053.0,,,,,10.52631579,12.86,,5.454545455,8.0
野地板（西新）,598.0,,,,,11.53846154,,17.06161137,6.260869565,
野地板2M（西新）,598.0,,,,,11.53846154,,17.06161137,6.260869565,
S1コタタキ（東原）,157.0,,,,9.399477807,,10.97560976,,,
トンネル材,1.0,1.0,1.0,1.0,,7.058823529,,,,10.0
型板,1.0,700.0,,1176.59,,72.0,,,,
