LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,932400.0,998280.0,930600.0,11508760.0,1105560.0,1551600.0
利益,0,,,以上・以下,以上,以下,以上,以上,以下,以下
,,,,実稼働,-0.0,0.0,-0.0,-0.0,0.0,0.0
,,,,稼働率,-0.0%, 0.0%,-0.0%,-0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,27415.0,,,,7.675906183,,10.77844311,3.448275862,
F3×10（西原）,400.0,9600.0,,,,7.675906183,8.823529412,,3.448275862,
普3×10（東原）,1163.0,2650.0,,,7.302231237,,12.63157895,,3.448275862,13.68821293
12普3×6(西新）,697.0,974.0,,,,11.21495327,,11.25,5.099150142,
12普3×6化粧(西新）,715.0,,,,,11.21495327,,11.25,5.099150142,7.627118644
12F無塗装（西新）,704.0,31524.0,,,,7.675906183,,10.77844311,5.099150142,7.725321888
12F無塗装（西原）,704.0,6000.0,,,,7.675906183,8.823529412,,5.099150142,7.725321888
12F化粧（西新）,817.0,11593.0,,,,7.675906183,,10.77844311,5.099150142,7.627118644
12普及化粧（西新）,817.0,32132.0,,,,7.675906183,,10.77844311,5.099150142,7.627118644
12普及化粧（西原）,817.0,9900.0,,,,7.675906183,12.63157895,,5.099150142,7.627118644
12普及化粧（東新）,817.0,,,,7.302231237,,,10.77844311,5.099150142,7.627118644
12普及化粧（東原）,817.0,,,,7.302231237,,12.63157895,,5.099150142,7.627118644
12普及無塗装（西新）,704.0,9215.0,,,,7.675906183,,10.77844311,5.099150142,7.725321888
12普及無塗装（東原）,704.0,,,,7.302231237,,12.63157895,,5.099150142,7.725321888
12高級リブ柄（西原）,817.0,27370.0,,,7.843137255,,10.52631579,,5.270863836,7.627118644
12高級（東原）,1075.0,7592.0,,,7.843137255,,10.52631579,,5.270863836,7.692307692
15高級（東原）,1025.0,14816.0,,,9.917355372,,12.04013378,,5.660377358,11.35646688
16高級（東原）,1073.0,2778.0,,,11.46496815,,14.4,,5.381165919,8.31408776
16F化粧（西新）,1138.0,11590.0,,,,10.74626866,,9.473684,5.381165919,8.08988764
16F無塗装（西新）,1053.0,10036.0,,,,11.11111111,,9.473684,5.381165919,8.23798627
16F化粧（西原）,1138.0,,,,,11.11111111,12.86,,5.381165919,8.08988764
14F無塗装（西新）,1053.0,,,,,10.08403361,,9.473684,5.381165919,8.08988764
野地板（西新）,598.0,8217.0,,,,11.50159744,,14.4,6.260869565,
野地板2M（西新）,598.0,,,,,11.50159744,,14.4,6.260869565,
S1コタタキ（東原）,157.0,5261.0,,,9.375,,10.0,,,
トンネル材,1.0,1.0,1.0,,,8.0,,8.372,,10.0
型板,1.0,700.0,700.0,,72.0,,,,,
