LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1.0,11850400.0,1.0,2080800.0,993600.0,1551600.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,417.0,43478.26087,40000.0,,,7.5,,7.5,3.5259411,
F3×10（西原）,417.0,,,,,7.5,12.0,,3.5259411,
普3×10（東原）,970.0,4347.826087,4000.0,,7.5,,10.2857,,3.5259411,10.0
12普3×6(西新）,697.0,,,,,12.0,,11.25,6.0,
12普3×6化粧(西新）,715.0,,,,,12.0,,11.25,6.0,14.4
12F無塗装（西新）,701.0,33695.65217,31000.0,,,7.5,,7.5,5.0,7.5
12F無塗装（西原）,701.0,,,,,7.5,12.0,,5.0,7.5
12F化粧（西新）,829.0,10869.56522,10000.0,,,7.5,,7.5,5.0,8.0
12普及化粧（西新）,829.0,44565.21739,41000.0,,,7.5,,7.5,5.0,8.0
12普及化粧（西原）,829.0,,,,,7.5,9.2307,,5.0,8.0
12普及化粧（東新）,829.0,,,,7.5,,,7.5,5.0,8.0
12普及化粧（東原）,829.0,,,,7.5,,9.2307,,5.0,8.0
12普及無塗装（西新）,701.0,14130.43478,13000.0,,,7.5,,7.5,5.0,7.5
12普及無塗装（東原）,701.0,,,,7.5,,9.2307,,5.0,7.5
12高級リブ柄（西原）,829.0,21739.13043,20000.0,,7.826,,10.0,,5.53846,7.5
12高級（東原）,1054.0,11956.52174,11000.0,,7.843137255,,10.588235,,5.53846,8.0
15高級（東原）,1173.0,15217.3913,14000.0,,10.0,,12.0,,6.0,12.0
16高級（東原）,1084.0,,,,18.0,,14.4,,5.142857,10.0
16F化粧（西新）,1293.0,11956.52174,11000.0,,,10.0,,9.473684,5.142857,8.181818182
16F無塗装（西新）,1124.0,8695.652174,8000.0,,,10.0,,9.473684,5.294,8.0
16F化粧（西原）,1293.0,,,,,10.0,12.86,,5.294,8.181818182
14F無塗装（西新）,1124.0,,,,,10.0,,9.473684,5.294,8.0
野地板（西新）,711.0,7608.695652,7000.0,,,12.857,,14.4,5.53846,
野地板2M（西新）,711.0,,,,,12.0,,14.4,5.53846,
S1コタタキ（東原）,157.0,5261.0,,,8.57142,,10.0,,,
トンネル材,1.0,1.0,1.0,,,8.0,,8.372,,10.0
型板,1.0,700.0,700.0,,,45.0,,,,
