LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1.0,1706400.0,655200.0,1357200.0,1090800.0,1123200.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,398.0,32558.0,,,,6.848,,6.848,3.287,
F3×10（西原）,398.0,,,,,6.848,8.428,,3.287,
普3×10（東原）,802.0,1458.0,,,,6.765,,6.765,3.247,7.38
12普3×6(西新）,770.0,494.0,,,,11.22,,10.2,5.024,
12普3×6化粧(西新）,775.0,249.0,,,,11.1,,10.091,4.97,12.808
12F無塗装（西新）,679.0,27560.0,,,,7.185,,7.185,4.79,7.338
12F無塗装（西原）,679.0,,,,,7.185,8.843,,4.79,7.338
12F化粧（西新）,773.0,10000.0,,,,7.14,,7.14,4.76,7.292
12普及化粧（西新）,773.0,35202.0,,,,7.14,,7.14,4.76,7.292
12普及化粧（西原）,773.0,,,,,7.14,8.788,,4.76,7.292
12普及化粧（東新）,773.0,,,,7.14,,,7.14,4.76,7.292
12普及化粧（東原）,773.0,,,,7.14,,8.788,,4.76,7.292
12普及無塗装（西新）,679.0,10000.0,,,,7.185,,7.185,4.79,7.338
12普及無塗装（東原）,679.0,,,,7.185,,8.843,,4.79,7.338
12高級リブ柄（西原）,773.0,20000.0,,,7.45,7.45,8.788,,4.76,7.292
12高級（東原）,1052.0,9558.0,,,7.505,7.505,8.852,,4.795,7.346
15高級（東原）,1271.0,11199.0,,,9.159,9.159,11.121,,4.791,7.242
16高級（東原）,1071.0,2646.0,,,9.106,9.106,11.057,,4.763,7.2
16F化粧（西新）,1249.0,7555.0,,,,9.34,,9.088,5.019,7.154
16F無塗装（西新）,1120.0,4667.0,,,,9.25,,9.0,4.97,7.4
16F化粧（西原）,1249.0,,,,11.208,9.34,12.009,,5.019,7.154
14F無塗装（西新）,1120.0,2738.0,,,,9.25,,9.0,4.97,7.4
野地板（西新）,575.0,6420.0,,,,11.52,,13.824,5.959,
野地板2M（西新）,509.0,195.0,,,,11.52,,17.28,5.959,
S1コタタキ（東原）,538.0,,,,7.902,,9.0,,,
トンネル材,817.0,,,,,6.424,,8.854,,10.568
型板,100.0,417.0,,,72.0,72.0,,,,
