"id","ope_name","west","east","old","new","kakou"
1,"12F",400,,188,150,650
2,"12高級",,450,172,,650
3,"12普3×6",,250,,231,500
4,"12普及",400,450,154,150,650
5,"15高級",,450,222,,530
6,"16F",300,,,231,600
7,"16高級",,271,207,,580
8,"F3×10",400,,188,150,849
9,"普3×10",,450,172,,849
10,"ショップ",,450,158,,849
11,"大壁",,450,182,,849
12,"野地2M",220,220,,300,450
13,"野地板",220,220,,300,450
14,"S1コタタキ",,400,222,,
15,"型板",,400,,,
16,"A01",1440,1440,1440,1440,1440
17,"A02",120,,,,
18,"A03",,120,,,
19,"A04",,,360,,
20,"A05",,,180,,
21,"A06",,,,,240
22,"A07",,,,,
23,"A08",1440,1440,,,
24,"A09",,480,,,
25,"A10",,480,240,,
26,"A11",1440,1440,,,
27,"A12",480,,,90,60
28,"A13",,,30,30,
